#Format: Question | Choice1,Choice2,Choice3,Choice4 | CorrectAnswer
What is the Korean braised potato dish called? | Gamja jorim,Hobakjuk,Bingsu,Gyeran jjim | Gamja jorim
Which Egyptian dish is a sweet rice pudding? | Roz bel laban,Basbousa,Konafa,Atayef | Roz bel laban
What is the French dish made with chicken and red wine? | Coq au vin,Boeuf bourguignon,Cassoulet,Ratatouille | Coq au vin
Which Lebanese dish is a flatbread topped with za'atar? | Manakish,Sambousek,Rekakat,Knefeh | Manakish
What is the Korean stuffed dumpling called? | Mandu,Kimchi,Tteokbokki,Japchae | Mandu
Which Egyptian dish is a spicy okra stew? | Bamia,Molokhia,Fatta,Hamam mahshi | Bamia
What is the French dessert made with chocolate and whipped cream? | Mousse au chocolat,Crème brûlée,Clafoutis,Éclair | Mousse au chocolat
Which Lebanese dish is a yogurt and cucumber salad? | Tabbouleh,Fattoush,Kibbeh,Kafta | Fattoush
What is the Korean grilled pork belly dish called? | Samgyeopsal,Galbi,Bulgogi,Dakgalbi | Samgyeopsal
Which Egyptian dish is a sweet coconut semolina cake? | Basbousa,Konafa,Atayef,Roz bel laban | Basbousa
What is gochujang in Korean cuisine? | Fermented soybean paste,Spicy chili paste,Sweet rice vinegar,Garlic sauce | Spicy chili paste
Which herb is essential in Lebanese tabbouleh? | Parsley,Mint,Cilantro,Basil | Parsley
What is the primary grain in Egyptian koshari? | Rice,Bulgur,Lentils,Quinoa | Rice
Which French sauce is made with butter, egg yolks, and lemon? | Béchamel,Hollandaise,Velouté,Espagnole | Hollandaise
Which dish is a Korean spicy stir-fried rice cake? | Bibimbap,Tteokbokki,Kimchi,Japchae | Tteokbokki
What is molokhia in Egyptian cuisine? | A jute-leaf soup,A fried bean patty,A stuffed pigeon,A yogurt dessert | A jute-leaf soup
Which French dessert is a caramelized upside-down apple tart? | Crème brûlée,Tarte Tatin,Clafoutis,Éclair | Tarte Tatin
Which Lebanese dish is a fried chickpea patty? | Falafel,Tabbouleh,Kibbeh,Shawarma | Falafel
How is shawarma traditionally cooked? | Grilled on a spit,Deep-fried,Steamed,Baked | Grilled on a spit
What technique is used for French sous vide? | Slow-cooking in vacuum-sealed bags,Flash-frying in woks,Steaming in bamboo,Open-fire roasting | Slow-cooking in vacuum-sealed bags
Which Egyptian dish involves stuffing vegetables with rice? | Mahshi,Ful medames,Taameya,Bamia | Mahshi
How is Korean kimchi preserved? | Fermentation,Freezing,Drying,Pickling in vinegar | Fermentation
Which country is coq au vin from? | Italy,France,Spain,Germany | France
What is banchan in Korean meals? | Main course,Side dishes,Desserts,Drinks | Side dishes
Which Lebanese dish is eaten during Lent? | Kibbeh,Mujadara,Shawarma,Kafta | Mujadara
What street food is Egypt famous for? | Taameya (falafel),Crepes,Tacos,Sushi | Taameya
What is za'atar commonly used on in Lebanon? | Bread,Meat,Fish,Desserts | Bread
Which Egyptian dish includes fried onions and tomato sauce? | Koshari,Ful medames,Molokhia,Bamia | Koshari
What is the French term for "everything in its place" in cooking? | Mise en place,Al dente,Julienne,Sous vide | Mise en place
Which Korean meal is served in a sizzling stone bowl? | Bibimbap,Kimchi jjigae,Samgyeopsal,Japchae | Bibimbap
