name|is_vegetarian|type|short_description|ingredients|recipe_steps|recipe_link
arancini|False|appetizer|Crispy stuffed rice balls of joy.|rice, meat sauce, mozzarella, breadcrumbs, egg, flour|Form rice balls with filling, Coat in flour, egg, and breadcrumbs, Fry until golden|https://www.seriouseats.com/arancini-sicilian-rice-balls-recipe
panna cotta|True|dessert|Silky smooth cream in a cup.|cream, sugar, vanilla, gelatin|Heat cream with sugar and vanilla, Add gelatin, Pour into molds, Chill until set|https://www.biggerbolderbaking.com/panna-cotta/
minestrone|True|soup|The soup with everything inside.|vegetables, beans, pasta, broth, tomatoes|Sauté vegetables, Add broth and tomatoes, Simmer with beans and pasta|https://www.simplyrecipes.com/recipes/minestrone_soup/
vitello tonnato|False|appetizer|Cold veal, creamy tuna. Trust it.|veal, tuna, mayonnaise, capers, lemon juice|Cook veal and slice thinly, Blend tuna with mayo, lemon, and capers, Serve sauce over meat|https://www.saveur.com/vitello-tonnato-recipe/
bucatini all'amatriciana|False|main|Pasta with a spicy porky punch.|bucatini, guanciale, tomatoes, pecorino, chili|Fry guanciale, Add tomatoes and chili, Cook pasta and toss with sauce, Top with cheese|https://www.seriouseats.com/bucatini-all-amatriciana-recipe
polenta|True|side|Golden mush made delicious.|cornmeal, water, salt, butter, parmesan|Boil water with salt, Whisk in cornmeal, Cook until thick, Stir in butter and cheese|https://www.delish.com/cooking/recipe-ideas/a24668036/how-to-make-polenta-recipe/
stuffed zucchini|True|appetizer|Zucchini boats stuffed to perfection.|zucchini, breadcrumbs, cheese, garlic, herbs, olive oil|Hollow zucchini, Mix stuffing, Fill and drizzle with oil, Bake until tender|https://www.cookingclassy.com/stuffed-zucchini/
tagliatelle al ragù|False|main|Bolognese’s fancier cousin with ribbons.|tagliatelle, ground beef, tomato paste, carrot, onion, celery, wine|Sauté vegetables, Add meat and wine, Stir in tomato paste, Simmer until thick, Serve over pasta|https://www.recipesfromitaly.com/tagliatelle-al-ragu/
cannoli|True|dessert|Crunchy shells with creamy filling.|flour, sugar, ricotta, chocolate chips, cinnamon, oil|Make dough and form tubes, Fry until crisp, Fill with sweet ricotta and chips|https://www.kingarthurbaking.com/recipes/cannoli-recipe
eggplant parmigiana|True|main|Crispy eggplant layered with love.|eggplant, tomato sauce, mozzarella, parmesan, breadcrumbs|Slice and fry eggplant, Layer with sauce and cheese, Bake until bubbly|https://www.seriouseats.com/eggplant-parmesan-recipe
pesto pasta|True|main|Bright green pesto magic on pasta.|basil, pine nuts, garlic, parmesan, olive oil, pasta|Blend pesto ingredients, Boil pasta, Toss together and serve|https://www.simplyrecipes.com/recipes/fresh_basil_pesto/
baccala alla vicentina|False|main|Salt cod in creamy onion heaven.|salt cod, onion, milk, anchovies, olive oil, flour|Soak cod, Sauté onion and anchovies, Add cod, milk, and flour, Simmer until tender|https://www.greatitalianchefs.com/recipes/baccala-alla-vicentina-recipe
zabaglione|True|dessert|Fluffy wine custard in a glass.|egg yolks, sugar, marsala wine|Whisk yolks and sugar, Add wine, Cook over steam until thick and foamy|https://www.simplyrecipes.com/recipes/zabaglione/
caponata|True|side|Sweet and sour Sicilian veggie stew.|eggplant, tomato, celery, olives, capers, vinegar|Fry eggplant, Sauté other ingredients, Combine and simmer, Chill before serving|https://www.seriouseats.com/sicilian-eggplant-caponata-recipe
spaghetti alle vongole|False|main|Clams and spaghetti — beach dinner!|spaghetti, clams, garlic, olive oil, parsley, chili|Sauté garlic and chili, Add clams until open, Toss with cooked pasta and parsley|https://www.seriouseats.com/spaghetti-alle-vongole-recipe
